dataset,fold_id,seed,phase,arima_weight,validation_mse
NASA,test_B0018,42,fusion_weight,0.75,4.3731909498935906e-05
NASA,test_B0018,42,fusion_weight,0.8,4.286189111322907e-05
NASA,test_B0018,42,fusion_weight,0.8500000000000001,4.216615396367977e-05
NASA,test_B0018,42,fusion_weight,0.9,4.1644698050288115e-05
NASA,test_B0018,42,fusion_weight,0.9500000000000001,4.1297523373053976e-05
NASA,test_B0018,42,fusion_weight,1.0,4.112462993197746e-05
CALCE,test_CS2_35,42,fusion_weight,0.0,0.00015707560991737427
CALCE,test_CS2_35,42,fusion_weight,0.05,0.00015484269325802936
CALCE,test_CS2_35,42,fusion_weight,0.1,0.00015275483552240832
CALCE,test_CS2_35,42,fusion_weight,0.15000000000000002,0.00015081203671051078
CALCE,test_CS2_35,42,fusion_weight,0.2,0.00014901429682233716
CALCE,test_CS2_35,42,fusion_weight,0.25,0.0001473616158578869
CALCE,test_CS2_35,42,fusion_weight,0.30000000000000004,0.00014585399381716042
CALCE,test_CS2_35,42,fusion_weight,0.35000000000000003,0.0001444914307001577
CALCE,test_CS2_35,42,fusion_weight,0.4,0.00014327392650687862
CALCE,test_CS2_35,42,fusion_weight,0.45,0.00014220148123732324
CALCE,test_CS2_35,42,fusion_weight,0.5,0.00014127409489149152
CALCE,test_CS2_35,42,fusion_weight,0.55,0.00014049176746938348
CALCE,test_CS2_35,42,fusion_weight,0.6000000000000001,0.00013985449897099906
CALCE,test_CS2_35,42,fusion_weight,0.65,0.0001393622893963384
CALCE,test_CS2_35,42,fusion_weight,0.7000000000000001,0.0001390151387454014
CALCE,test_CS2_35,42,fusion_weight,0.75,0.0001388130470181881
CALCE,test_CS2_35,42,fusion_weight,0.8,0.0001387560142146984
CALCE,test_CS2_35,42,fusion_weight,0.8500000000000001,0.0001388440403349324
CALCE,test_CS2_35,42,fusion_weight,0.9,0.00013907712537889017
CALCE,test_CS2_35,42,fusion_weight,0.9500000000000001,0.00013945526934657152
CALCE,test_CS2_35,42,fusion_weight,1.0,0.00013997847223797658
CALCE,test_CS2_36,42,fusion_weight,0.0,0.00012384371316874948
CALCE,test_CS2_36,42,fusion_weight,0.05,0.00012273666636803248
CALCE,test_CS2_36,42,fusion_weight,0.1,0.00012171429997374393
CALCE,test_CS2_36,42,fusion_weight,0.15000000000000002,0.00012077661398588396
CALCE,test_CS2_36,42,fusion_weight,0.2,0.0001199236084044528
CALCE,test_CS2_36,42,fusion_weight,0.25,0.00011915528322945044
CALCE,test_CS2_36,42,fusion_weight,0.30000000000000004,0.00011847163846087678
CALCE,test_CS2_36,42,fusion_weight,0.35000000000000003,0.0001178726740987316
CALCE,test_CS2_36,42,fusion_weight,0.4,0.00011735839014301503
CALCE,test_CS2_36,42,fusion_weight,0.45,0.00011692878659372721
CALCE,test_CS2_36,42,fusion_weight,0.5,0.00011658386345086812
CALCE,test_CS2_36,42,fusion_weight,0.55,0.00011632362071443767
CALCE,test_CS2_36,42,fusion_weight,0.6000000000000001,0.00011614805838443586
CALCE,test_CS2_36,42,fusion_weight,0.65,0.00011605717646086278
CALCE,test_CS2_36,42,fusion_weight,0.7000000000000001,0.00011605097494371825
CALCE,test_CS2_36,42,fusion_weight,0.75,0.00011612945383300247
CALCE,test_CS2_36,42,fusion_weight,0.8,0.0001162926131287153
CALCE,test_CS2_36,42,fusion_weight,0.8500000000000001,0.00011654045283085672
CALCE,test_CS2_36,42,fusion_weight,0.9,0.0001168729729394269
CALCE,test_CS2_36,42,fusion_weight,0.9500000000000001,0.00011729017345442581
CALCE,test_CS2_36,42,fusion_weight,1.0,0.00011779205437585331
CALCE,test_CS2_37,42,fusion_weight,0.0,0.0001245044093747993
CALCE,test_CS2_37,42,fusion_weight,0.05,0.00012379114609180876
CALCE,test_CS2_37,42,fusion_weight,0.1,0.00012313949380199788
CALCE,test_CS2_37,42,fusion_weight,0.15000000000000002,0.0001225494525053667
CALCE,test_CS2_37,42,fusion_weight,0.2,0.00012202102220191526
CALCE,test_CS2_37,42,fusion_weight,0.25,0.00012155420289164367
CALCE,test_CS2_37,42,fusion_weight,0.30000000000000004,0.00012114899457455166
CALCE,test_CS2_37,42,fusion_weight,0.35000000000000003,0.0001208053972506395
CALCE,test_CS2_37,42,fusion_weight,0.4,0.00012052341091990686
CALCE,test_CS2_37,42,fusion_weight,0.45,0.00012030303558235399
CALCE,test_CS2_37,42,fusion_weight,0.5,0.00012014427123798095
CALCE,test_CS2_37,42,fusion_weight,0.55,0.00012004711788678758
CALCE,test_CS2_37,42,fusion_weight,0.6000000000000001,0.00012001157552877388
CALCE,test_CS2_37,42,fusion_weight,0.65,0.00012003764416393992
CALCE,test_CS2_37,42,fusion_weight,0.7000000000000001,0.00012012532379228578
CALCE,test_CS2_37,42,fusion_weight,0.75,0.00012027461441381116
CALCE,test_CS2_37,42,fusion_weight,0.8,0.00012048551602851642
CALCE,test_CS2_37,42,fusion_weight,0.8500000000000001,0.00012075802863640137
CALCE,test_CS2_37,42,fusion_weight,0.9,0.00012109215223746597
CALCE,test_CS2_37,42,fusion_weight,0.9500000000000001,0.00012148788683171032
CALCE,test_CS2_37,42,fusion_weight,1.0,0.0001219452324191344
CALCE,test_CS2_38,42,fusion_weight,0.0,0.0001255403789810868
CALCE,test_CS2_38,42,fusion_weight,0.05,0.00012413203592719058
CALCE,test_CS2_38,42,fusion_weight,0.1,0.00012279945867497405
CALCE,test_CS2_38,42,fusion_weight,0.15000000000000002,0.00012154264722443724
CALCE,test_CS2_38,42,fusion_weight,0.2,0.00012036160157558008
CALCE,test_CS2_38,42,fusion_weight,0.25,0.00011925632172840267
CALCE,test_CS2_38,42,fusion_weight,0.30000000000000004,0.00011822680768290495
CALCE,test_CS2_38,42,fusion_weight,0.35000000000000003,0.00011727305943908693
CALCE,test_CS2_38,42,fusion_weight,0.4,0.00011639507699694861
CALCE,test_CS2_38,42,fusion_weight,0.45,0.00011559286035648995
CALCE,test_CS2_38,42,fusion_weight,0.5,0.00011486640951771104
CALCE,test_CS2_38,42,fusion_weight,0.55,0.00011421572448061187
CALCE,test_CS2_38,42,fusion_weight,0.6000000000000001,0.00011364080524519236
CALCE,test_CS2_38,42,fusion_weight,0.65,0.0001131416518114525
CALCE,test_CS2_38,42,fusion_weight,0.7000000000000001,0.00011271826417939246
CALCE,test_CS2_38,42,fusion_weight,0.75,0.00011237064234901204
CALCE,test_CS2_38,42,fusion_weight,0.8,0.00011209878632031132
CALCE,test_CS2_38,42,fusion_weight,0.8500000000000001,0.00011190269609329028
CALCE,test_CS2_38,42,fusion_weight,0.9,0.00011178237166794895
CALCE,test_CS2_38,42,fusion_weight,0.9500000000000001,0.00011173781304428735
CALCE,test_CS2_38,42,fusion_weight,1.0,0.00011176902022230545
