task,dataset,model,model_family,tuned,seed,split,RMSE,MAE,MSE,MAPE,R2,training_time_sec,inference_time_sec,param_count,status
SOH,CALCE,Ours,ARIMA-TCN,True,42,test,0.011020491148475298,0.005683443703715758,0.00012145122515362239,0.9187726397667214,0.9969711391638622,5.155112541047856,926.4243475076509,14748,ok
SOH,CALCE,Ours,ARIMA-TCN,True,42,validation,0.011031883848178558,0.005720843627825898,0.00012170246123970296,0.9395546168874419,0.9969648736104205,5.155112541047856,923.5576508059165,14748,ok
SOH,NASA,Ours,ARIMA-TCN,True,42,test,0.009070627888720057,0.004746478425787986,8.227629029562608e-05,0.6073816021248793,0.9900122908949618,2.3443630829569884,18.708190028555652,14748,ok
SOH,NASA,Ours,ARIMA-TCN,True,42,validation,0.009047151625213695,0.004686531930341418,8.18509525296068e-05,0.5998924671343653,0.9900639236297767,2.3443630829569884,18.45229601697061,14748,ok
