排名,model,model_family,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,param_count,rank_score
1,Ours,ARCF-TCN,0.009451714383471352,0.004785062490851425,0.6983222007280838,0.9918087283315367,3.4134247919137124,0.1789551368824226,58273.0,3.0
2,VMD-XGBoost,VMD-XGBoost,0.017150350682976278,0.010547768174983747,1.8705214826312397,0.9764175115170737,0.07000353644252755,0.0006487455408105545,0.0,6.0
3,EMD-XGBoost,EMD-XGBoost,0.02881544512409179,0.014904815981325877,3.11049911232627,0.941070171740135,0.0628838175907731,0.0006857911229967841,0.0,9.0
4,EMD-TCN,EMD-TCN,0.04947884808261979,0.04028686974227954,5.58866258298406,0.5034514834664149,0.5140614061674569,0.04698323592350474,3457.0,13.0
5,VMD-TCN,VMD-TCN,0.04972493585713446,0.04077069448859856,5.65460034972562,0.5043010309454057,0.5133730571251363,0.04715637135386087,3457.0,14.0
