dataset,model,fold_id,status,train_time_sec,inference_time_sec,inference_ms_per_sample,throughput_samples_sec,inference_repeats,test_samples,param_count,model_size_mb_fp32
NASA,VMD-XGBoost,test_B0005,ok,0.06438150000758469,0.00012541702017188072,0.0008251119748150048,1211956.7168131408,5,152,0.0,0.0
NASA,VMD-XGBoost,test_B0006,ok,0.06149066600482911,0.00013412500265985727,0.0008824013332885347,1133271.1797626126,5,152,0.0,0.0
NASA,VMD-XGBoost,test_B0007,ok,0.06412416696548462,0.00011704105418175459,0.0007700069354062802,1298689.6013766008,5,152,0.0,0.0
NASA,VMD-XGBoost,test_B0018,ok,0.06411408295389265,0.00010533398017287254,0.0009080515532144185,1101259.0600831995,5,116,0.0,0.0
NASA,EMD-XGBoost,test_B0005,ok,0.049879707978107035,0.00012112502008676529,0.0007968751321497717,1254901.752677672,5,152,0.0,0.0
NASA,EMD-XGBoost,test_B0006,ok,0.05060070799663663,0.00012970902025699615,0.0008533488174802379,1171853.7361460144,5,152,0.0,0.0
NASA,EMD-XGBoost,test_B0007,ok,0.048466417007148266,0.00011708296369761229,0.000770282655905344,1298224.7391052316,5,152,0.0,0.0
NASA,EMD-XGBoost,test_B0018,ok,0.05030141700990498,0.00010116701014339924,0.0008721293977879245,1146618.841809951,5,116,0.0,0.0
NASA,CEEMDAN-XGBoost,test_B0005,ok,0.050951417069882154,0.00012391700875014067,0.0008152434786193465,1226627.41405003,5,152,0.0,0.0
NASA,CEEMDAN-XGBoost,test_B0006,ok,0.051560583990067244,0.00012391700875014067,0.0008152434786193465,1226627.41405003,5,152,0.0,0.0
NASA,CEEMDAN-XGBoost,test_B0007,ok,0.05007999995723367,0.00011958298273384571,0.0007867301495647744,1271083.8659904012,5,152,0.0,0.0
NASA,CEEMDAN-XGBoost,test_B0018,ok,0.0519057500641793,0.00010120798833668232,0.0008724826580748476,1146154.5862774192,5,116,0.0,0.0
NASA,Wavelet-XGBoost,test_B0005,ok,0.061339791980572045,0.00011837505735456944,0.0007787832720695358,1284054.2880981558,5,152,0.0,0.0
NASA,Wavelet-XGBoost,test_B0006,ok,0.06085683300625533,0.00012554205022752285,0.0008259345409705451,1210749.702785057,5,152,0.0,0.0
NASA,Wavelet-XGBoost,test_B0007,ok,0.06032112508546561,0.0001166659640148282,0.0007675392369396592,1302864.9896612593,5,152,0.0,0.0
NASA,Wavelet-XGBoost,test_B0018,ok,0.06080291699618101,0.00010887498501688242,0.0009385774570420898,1065442.1672895087,5,116,0.0,0.0
CALCE,VMD-XGBoost,test_CS2_35,ok,0.0781904999166727,0.0004130000015720725,0.00047690531359361724,2096852.2922605234,5,866,0.0,0.0
CALCE,VMD-XGBoost,test_CS2_36,ok,0.07562300004065037,0.0004250829806551337,0.00046204671810340625,2164283.3090661615,5,920,0.0,0.0
CALCE,VMD-XGBoost,test_CS2_37,ok,0.07450954103842378,0.0004314580000936985,0.00045131589967960093,2215742.899175327,5,956,0.0,0.0
CALCE,VMD-XGBoost,test_CS2_38,ok,0.07660108304116875,0.0004497090121731162,0.0004588867471154247,2179186.9263735088,5,980,0.0,0.0
CALCE,EMD-XGBoost,test_CS2_35,ok,0.06500649999361485,0.00041441607754677534,0.00047854050525031794,2089687.2658186245,5,866,0.0,0.0
CALCE,EMD-XGBoost,test_CS2_36,ok,0.06553916702978313,0.0004629170289263129,0.0005031706836155575,1987397.1846182514,5,920,0.0,0.0
CALCE,EMD-XGBoost,test_CS2_37,ok,0.0662643751129508,0.00043695804197341204,0.00045706908156214647,2187853.0846633795,5,956,0.0,0.0
CALCE,EMD-XGBoost,test_CS2_38,ok,0.06779595802072436,0.00045070797204971313,0.0004599060939282787,2174356.9246028466,5,980,0.0,0.0
CALCE,CEEMDAN-XGBoost,test_CS2_35,ok,0.07447304099332541,0.00041504204273223877,0.00047926332879011407,2086535.6056439162,5,866,0.0,0.0
CALCE,CEEMDAN-XGBoost,test_CS2_36,ok,0.07230504101607949,0.0004349580267444253,0.0004727804638526362,2115146.6197463186,5,920,0.0,0.0
CALCE,CEEMDAN-XGBoost,test_CS2_37,ok,0.07419125002343208,0.0004450839478522539,0.0004655689831090522,2147909.410377894,5,956,0.0,0.0
CALCE,CEEMDAN-XGBoost,test_CS2_38,ok,0.07255049992818385,0.0004569169832393527,0.00046624181963199254,2144809.7487035934,5,980,0.0,0.0
CALCE,Wavelet-XGBoost,test_CS2_35,ok,0.0743958749808371,0.0004052500007674098,0.00046795612097853324,2136952.494411059,5,866,0.0,0.0
CALCE,Wavelet-XGBoost,test_CS2_36,ok,0.0746458750218153,0.00042512500658631325,0.00046209239846338397,2164069.3578283126,5,920,0.0,0.0
CALCE,Wavelet-XGBoost,test_CS2_37,ok,0.07264020899310708,0.00044450000859797,0.0004649581679895084,2150731.1170035508,5,956,0.0,0.0
CALCE,Wavelet-XGBoost,test_CS2_38,ok,0.074288040981628,0.000457499991171062,0.0004668367256847571,2142076.544070516,5,980,0.0,0.0
