dataset,variant,folds,RMSE,RMSE_std,MAE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32,delta_RMSE_vs_full_pct
CALCE,ATRCF,4,0.009979902756763043,0.000855587285276774,0.004640707544350652,0.9974631931169494,5.368113020958845,0.1655197662754127,7224.470839391691,58273,0.22229385375976562,0.0
CALCE,TCN_Only,4,0.15268437527604756,0.022094991114243033,0.10937443502539174,0.4121550083125437,4.044156427262351,0.10745835065986034,9311.009443205738,14737,0.056217193603515625,1429.918467117112
CALCE,Trend_Only,4,0.011977488850458452,0.001166043706931739,0.004544872378945479,0.9963213703350489,7.085036486387253e-07,3.3252967099509207e-06,315092217.88516474,0,0.0,20.0160877553813
CALCE,Trend_TCN,4,0.009997108171357247,0.0008446791460058409,0.004644103471241133,0.9974533331382276,5.572008291434031,0.17062669446742523,7128.43923669443,58273,0.22229385375976562,0.17240062366884515
NASA,ATRCF,4,0.00892352601017966,0.003085296400591173,0.004929417437352198,0.9861542635461238,1.4115333749214187,0.18857916325156215,7155.768864217183,58273,0.22229385375976562,0.0
NASA,TCN_Only,4,0.10334152159888044,0.026243240495323342,0.08763924383557724,-0.5411481672022496,1.1931124477414414,0.13169743788685098,8614.179707379233,58273,0.22229385375976562,1058.0794573915275
NASA,Trend_Only,4,0.009345015333087889,0.0030854310190959805,0.005685072730676456,0.9851493337368658,9.89530235528946e-07,9.731811191548616e-06,104159015.0181768,0,0.0,4.723349519320139
NASA,Trend_TCN,4,0.00892503826865193,0.0030820856275998944,0.004940016858039655,0.986152608557551,1.4027800727053545,0.1869642375869095,7310.689753593526,58273,0.22229385375976562,0.016946871343736583
