dataset,model,folds,train_time_sec_mean,train_time_sec_std,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
CALCE,CNN1D,4,0.5677797084790654,0.02230878096169385,0.017585697467465446,56880.956703276126,12065.0,0.046024322509765625
CALCE,DNN,4,0.04369048972148448,0.002061805951062076,0.00024014399867180037,4204902.0162541885,5313.0,0.020267486572265625
CALCE,EMD-TCN,4,0.8926769375684671,0.030523521979516487,0.04693736307873116,21305.197871858414,3457.0,0.013187408447265625
CALCE,EMD-XGBoost,4,0.06985379144316539,0.007572856332470709,0.0004636202623263313,2157167.062918443,0.0,0.0
CALCE,GRU,4,0.7416850102017634,0.07235786936944895,0.011213502008844288,90430.7663906719,21505.0,0.08203506469726562
CALCE,LSTM,4,0.8443898960249498,0.0880932513797132,0.01715934248053909,58483.35981469067,28657.0,0.10931777954101562
CALCE,LightGBM,4,0.04608511470723897,0.0030745450778717188,0.0027546450853005795,371072.1318719133,0.0,0.0
CALCE,Ours,4,5.378076646302361,1.8815940635815536,0.16685721883341187,7231.913777589896,58273.0,0.22229385375976562
CALCE,Transformer,4,0.5524909479427151,0.03407239622952901,0.024140844186258018,41728.512410660114,12801.0,0.048831939697265625
CALCE,Trend_Prior_l1,4,9.685172699391842e-07,2.1850171802120003e-07,2.697204444289396e-06,373801532.3303029,0.0,0.0
CALCE,Trend_Prior_l2,4,3.227032721042633e-07,2.0489096641540524e-08,0.012479833573674246,80156.67006187743,0.0,0.0
CALCE,VMD-TCN,4,0.8876490000402555,0.021406649221724958,0.047382505791832154,21111.332834869303,3457.0,0.013187408447265625
CALCE,VMD-XGBoost,4,0.07723519770661369,0.0017488518488377937,0.000461284076949764,2168477.027425128,0.0,0.0
CALCE,XGBoost,4,0.020412479294463992,0.0003750022251579386,0.00036743746312051966,2721884.0042669065,0.0,0.0
NASA,CNN1D,4,0.09695023973472416,0.012726896590900342,0.01938215897897319,52110.48141112973,12065.0,0.046024322509765625
NASA,DNN,4,0.010216427326668054,0.0034107078853500405,0.0004799409021332711,2130057.617505385,5313.0,0.020267486572265625
NASA,EMD-TCN,4,0.13544587476644665,0.009087761121223772,0.047029108768278316,21263.569495095442,3457.0,0.013187408447265625
NASA,EMD-XGBoost,4,0.05591384373838082,0.003162982539709395,0.000907961983667237,1104110.7568463057,0.0,0.0
NASA,GRU,4,0.12261456227861345,0.005378946993835979,0.014191694992798095,70535.56403388968,21505.0,0.08203506469726562
NASA,LSTM,4,0.14133994810981676,0.0038907324297560394,0.02063032785147858,48534.57909351746,28657.0,0.10931777954101562
NASA,LightGBM,4,0.00842569803353399,0.0009249875135151534,0.002899028286578712,367658.24700074695,0.0,0.0
NASA,Ours,4,1.4487729375250638,0.35139270981915205,0.19105305493143326,7239.782490914863,58273.0,0.22229385375976562
NASA,Transformer,4,0.08680067700333893,0.005314703740936817,0.021343540695319276,47101.32481767185,12801.0,0.048831939697265625
NASA,Trend_Prior_l1,4,9.09355003386736e-06,1.638501538103213e-05,9.506018815423529e-06,105844547.56284788,0.0,0.0
NASA,Trend_Prior_l2,4,4.271860234439373e-07,1.3323683148224782e-07,0.013015514933512615,76974.755154174,0.0,0.0
NASA,VMD-TCN,4,0.13909711421001703,0.008544942039286888,0.04693023691588959,21308.553149007494,3457.0,0.013187408447265625
NASA,VMD-XGBoost,4,0.0627718751784414,0.002144175535824195,0.0008362070046713451,1201738.8407091931,0.0,0.0
NASA,XGBoost,4,0.020744968438521028,0.006765583176492265,0.0007630445174247486,1319153.9384472102,0.0,0.0
