dataset,soh_band,samples,mean_soh,w_Trend_Prior_l1,w_Trend_Prior_l2
CALCE,<0.80,1533,0.5754585641509788,0.6836835943426629,0.316316405657337
CALCE,0.80-0.90,1161,0.8624360241015137,0.7273123328950666,0.2726876671049334
CALCE,0.90-0.95,772,0.9250045753050344,0.7244242150211612,0.2755757849788388
CALCE,>=0.95,256,0.9731997100170702,0.7144865400370727,0.28551345996292726
NASA,<0.80,349,0.7144090825302212,0.796617793777146,0.20338220622285397
NASA,0.80-0.90,148,0.8478341271748414,0.7942396133144417,0.2057603866855584
NASA,0.90-0.95,68,0.9193770149174858,0.7858175173275317,0.21418248267246837
NASA,>=0.95,7,0.9699573346546718,0.7804054749300658,0.21959452506993424
