dataset,model,model_family,tuned,split,fold_id,test_cell,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
NASA,Trend_Prior_l1,baseline,False,validation,test_B0005,B0005,0.012131280834898603,0.00731841400936488,0.9337518396655663,0.9879285080581864,1.375097781419754e-06,1.0422234864611374e-05,95948710.90417401,0.0,0.0
NASA,Trend_Prior_l1,baseline,False,test,test_B0005,B0005,0.006898157985403452,0.004287658393316637,0.5497383906154053,0.9941079837996188,1.375097781419754e-06,1.0422234864611374e-05,95948710.90417401,0.0,0.0
NASA,Trend_Prior_l2,baseline,False,validation,test_B0005,B0005,0.016246760209478153,0.010726110129530472,1.371414962325484,0.9783488396285135,6.249174475669861e-07,0.014007678194167582,71389.41844169243,0.0,0.0
NASA,Trend_Prior_l2,baseline,False,test,test_B0005,B0005,0.00860737340387769,0.005652913813465767,0.7244642482676091,0.9908264180105417,6.249174475669861e-07,0.014007678194167582,71389.41844169243,0.0,0.0
NASA,LSTM,LSTM,False,validation,test_B0005,B0005,0.04560352811704878,0.03587584121387698,5.113043538450593,0.8294135537215888,0.14426050009205937,0.020954223337436195,47723.07634105578,28657.0,0.10931777954101562
NASA,LSTM,LSTM,False,test,test_B0005,B0005,0.024060274020303744,0.01973878673424476,2.6667987593282882,0.9283198678308137,0.14426050009205937,0.020954223337436195,47723.07634105578,28657.0,0.10931777954101562
NASA,GRU,GRU,False,validation,test_B0005,B0005,0.03407140856195672,0.025964740507904035,3.7201178462724993,0.9047800800115596,0.1212177500128746,0.014129111629077479,70775.85811849745,21505.0,0.08203506469726562
NASA,GRU,GRU,False,test,test_B0005,B0005,0.017420213805994324,0.013505341189558479,1.8284586294212435,0.9624245127338151,0.1212177500128746,0.014129111629077479,70775.85811849745,21505.0,0.08203506469726562
NASA,Transformer,Transformer,False,validation,test_B0005,B0005,0.04160446901159377,0.030082028558720525,4.339899748354174,0.8580198591260683,0.08824312500655651,0.021997808576806596,45459.07363946928,12801.0,0.048831939697265625
NASA,Transformer,Transformer,False,test,test_B0005,B0005,0.021094758302090504,0.016077323845547095,2.203579174222182,0.9449006130845073,0.08824312500655651,0.021997808576806596,45459.07363946928,12801.0,0.048831939697265625
NASA,DNN,DNN,False,validation,test_B0005,B0005,0.023334218915539766,0.019418663041556063,2.6767905690860996,0.9553384109039182,0.015282167121767998,0.0005937503087089249,1684209.650643283,5313.0,0.020267486572265625
NASA,DNN,DNN,False,test,test_B0005,B0005,0.014649998675740638,0.011288845960311966,1.4705781062814143,0.9734250271221246,0.015282167121767998,0.0005937503087089249,1684209.650643283,5313.0,0.020267486572265625
NASA,CNN1D,1D-CNN,False,validation,test_B0005,B0005,0.03256379273270861,0.02537899764988136,3.296728862234652,0.9130203613254266,0.11445429199375212,0.022878014102676196,43710.08757630861,12065.0,0.046024322509765625
NASA,CNN1D,1D-CNN,False,test,test_B0005,B0005,0.018782287275772996,0.014826707988805126,1.9108275957365928,0.956318794365777,0.11445429199375212,0.022878014102676196,43710.08757630861,12065.0,0.046024322509765625
NASA,XGBoost,XGBoost,False,validation,test_B0005,B0005,0.03560755531880175,0.022686613732051896,3.3932764225193845,0.8960003324716563,0.030867082998156548,0.000807565428610695,1238289.7590358246,0.0,0.0
NASA,XGBoost,XGBoost,False,test,test_B0005,B0005,0.014686425623308031,0.010369944172234321,1.4131191106256153,0.9732927064744374,0.030867082998156548,0.000807565428610695,1238289.7590358246,0.0,0.0
NASA,LightGBM,LightGBM,False,validation,test_B0005,B0005,0.03695596656449165,0.024030864308915646,3.571709545497842,0.8879745320743228,0.008814041037112474,0.00415515234252732,240665.0629304634,0.0,0.0
NASA,LightGBM,LightGBM,False,test,test_B0005,B0005,0.015351463487482953,0.010886120593453823,1.486398303289739,0.9708191977785326,0.008814041037112474,0.00415515234252732,240665.0629304634,0.0,0.0
NASA,Ours,ARCF-TCN,True,validation,test_B0005,B0005,0.011493392497547373,0.0059059519490943495,0.7473625103421456,0.9891646208752417,1.550846541998908,0.24438925596003078,4091.832908413729,58273.0,0.22229385375976562
NASA,Ours,ARCF-TCN,True,test,test_B0005,B0005,0.006563794452792149,0.0033151461658237954,0.42316154986961707,0.9946653294496711,1.550846541998908,0.24438925596003078,4091.832908413729,58273.0,0.22229385375976562
NASA,Trend_Prior_l1,baseline,False,validation,test_B0006,B0006,0.006459462544594246,0.0036824476649598608,0.4504887859357703,0.9925481393577202,6.2515027821064e-07,8.770975431329325e-06,114012404.64407964,0.0,0.0
NASA,Trend_Prior_l1,baseline,False,test,test_B0006,B0006,0.012131280834898603,0.00731841400936488,0.9337518396655663,0.9879285080581864,6.2515027821064e-07,8.770975431329325e-06,114012404.64407964,0.0,0.0
NASA,Trend_Prior_l2,baseline,False,validation,test_B0006,B0006,0.007613591396231377,0.005058371032511608,0.6221704498439261,0.9896473606020892,3.7509016692638397e-07,0.012758776153388777,78377.42334984038,0.0,0.0
NASA,Trend_Prior_l2,baseline,False,test,test_B0006,B0006,0.016246760209478153,0.010726110129530472,1.371414962325484,0.9783488396285135,3.7509016692638397e-07,0.012758776153388777,78377.42334984038,0.0,0.0
NASA,LSTM,LSTM,False,validation,test_B0006,B0006,0.0246749296511285,0.01965938580667702,2.326012186994008,0.8912613837160496,0.14443850005045533,0.019671329554464472,50835.404756515134,28657.0,0.10931777954101562
NASA,LSTM,LSTM,False,test,test_B0006,B0006,0.03974641126254426,0.03076794821290333,4.1954339260678575,0.870418357806679,0.14443850005045533,0.019671329554464472,50835.404756515134,28657.0,0.10931777954101562
NASA,GRU,GRU,False,validation,test_B0006,B0006,0.017661007663093087,0.011253331042926038,1.296262389060101,0.9442938795516472,0.11908116610720754,0.013871711225395924,72089.15927901016,21505.0,0.08203506469726562
NASA,GRU,GRU,False,test,test_B0006,B0006,0.029360432965619042,0.02152031072727817,2.9578261592343327,0.9292913497894582,0.11908116610720754,0.013871711225395924,72089.15927901016,21505.0,0.08203506469726562
NASA,Transformer,Transformer,False,validation,test_B0006,B0006,0.024466057624322315,0.017711002558007997,2.0671609504540096,0.8930945257436131,0.0809022921603173,0.019906251078569574,50235.47608502575,12801.0,0.048831939697265625
NASA,Transformer,Transformer,False,test,test_B0006,B0006,0.037516257644291826,0.026709604637057523,3.644664466526221,0.8845519358362506,0.0809022921603173,0.019906251078569574,50235.47608502575,12801.0,0.048831939697265625
NASA,DNN,DNN,False,validation,test_B0006,B0006,0.013234682913088557,0.009713192729734836,1.1725559130670584,0.968717674034921,0.008412959054112434,0.00043777062704688623,2284301.271526145,5313.0,0.020267486572265625
NASA,DNN,DNN,False,test,test_B0006,B0006,0.022230362717109726,0.017905591307886225,2.4317869895159965,0.9594640147498308,0.008412959054112434,0.00043777062704688623,2284301.271526145,5313.0,0.020267486572265625
NASA,CNN1D,1D-CNN,False,validation,test_B0006,B0006,0.02637164387175071,0.021697648360734834,2.70409942222258,0.8757929175652169,0.08442970900796354,0.018262336533026474,54757.50587508628,12065.0,0.046024322509765625
NASA,CNN1D,1D-CNN,False,test,test_B0006,B0006,0.03336826328991475,0.02553517265767779,3.2945751972412096,0.9086697087020013,0.08442970900796354,0.018262336533026474,54757.50587508628,12065.0,0.046024322509765625
NASA,XGBoost,XGBoost,False,validation,test_B0006,B0006,0.010733483402779785,0.007069812200842334,0.8475286176200794,0.9794243608831904,0.017549125012010336,0.0007670008160762096,1303779.5775964851,0.0,0.0
NASA,XGBoost,XGBoost,False,test,test_B0006,B0006,0.02614274333589202,0.01674592931914518,2.3312768638033563,0.9439404052690453,0.017549125012010336,0.0007670008160762096,1303779.5775964851,0.0,0.0
NASA,LightGBM,LightGBM,False,validation,test_B0006,B0006,0.011323671672760563,0.007477251126635001,0.8909014431834145,0.9770994194023254,0.007199625018984079,0.0021973683033138514,455089.84474377823,0.0,0.0
NASA,LightGBM,LightGBM,False,test,test_B0006,B0006,0.0278561605955973,0.018036075998454474,2.512769865585192,0.936351210170545,0.007199625018984079,0.0021973683033138514,455089.84474377823,0.0,0.0
NASA,Ours,ARCF-TCN,True,validation,test_B0006,B0006,0.005979494695878635,0.0031337857504405695,0.3812585669247852,0.9936144115356746,1.7224061251617968,0.23598875544082962,4237.490036895991,58273.0,0.22229385375976562
NASA,Ours,ARCF-TCN,True,test,test_B0006,B0006,0.011468770801977678,0.006317170665568225,0.8045199713333326,0.9892109952848889,1.7224061251617968,0.23598875544082962,4237.490036895991,58273.0,0.22229385375976562
NASA,Trend_Prior_l1,baseline,False,validation,test_B0007,B0007,0.011891159967455253,0.007451770855064445,0.9671230788776674,0.9660127037319376,3.3665914088487625e-05,8.770975431329325e-06,114012404.64407964,0.0,0.0
NASA,Trend_Prior_l1,baseline,False,test,test_B0007,B0007,0.006459462544594246,0.0036824476649598608,0.4504887859357703,0.9925481393577202,3.3665914088487625e-05,8.770975431329325e-06,114012404.64407964,0.0,0.0
NASA,Trend_Prior_l2,baseline,False,validation,test_B0007,B0007,0.015291338878925084,0.010537294917573329,1.3769780464379087,0.9437970385254366,3.3387914299964905e-07,0.012692157485473313,78788.81121232071,0.0,0.0
NASA,Trend_Prior_l2,baseline,False,test,test_B0007,B0007,0.007613591396231377,0.005058371032511608,0.6221704498439261,0.9896473606020892,3.3387914299964905e-07,0.012692157485473313,78788.81121232071,0.0,0.0
NASA,LSTM,LSTM,False,validation,test_B0007,B0007,0.028451422666874965,0.022792858550641146,2.939108004667332,0.8054298789486821,0.14047141722403467,0.021641447490669395,46207.63007793934,28657.0,0.10931777954101562
