排名,model,model_family,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,param_count,rank_score
1,Ours,ARCF-TCN,0.009578263472819506,0.004740452259099719,0.691391694157057,0.993675063392844,13.700386687996797,0.1822919000063027,58273.0,3.0
2,Wavelet-XGBoost,Wavelet-XGBoost,0.018721273757099047,0.010262233687613658,1.8184216953711139,0.974967233114651,0.26964533352293074,0.0006465847400172515,0.0,6.0
3,VMD-XGBoost,VMD-XGBoost,0.018821828350446525,0.010596053738544994,1.872681901381649,0.9748577231445679,0.27951726998435333,0.0006543408094020358,0.0,9.0
4,EMD-XGBoost,EMD-XGBoost,0.033345335617263404,0.014940624523501131,3.106384326367637,0.9398762557739518,0.23192712507443503,0.0006489152959599473,0.0,12.0
5,CEEMDAN-XGBoost,CEEMDAN-XGBoost,0.03614660887099111,0.020924083246341863,3.32906186813471,0.8668322667328999,0.2490087915211916,0.0006466942950327638,0.0,15.0
