dataset,model,model_family,tuned,split,folds,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
CALCE,CNN1D,1D-CNN,False,test,4,0.0281261836800446,0.018291079397159123,3.5807699035412472,0.9800690965509035,2.271118833916262,0.017585697467465446,56880.956703276126,12065.0,0.046024322509765625
CALCE,CNN1D,1D-CNN,False,validation,4,0.0282652168430098,0.018497315307542426,3.604924664645024,0.9795728478747864,2.271118833916262,0.017585697467465446,56880.956703276126,12065.0,0.046024322509765625
CALCE,DNN,DNN,False,test,4,0.020252268550833005,0.012988474679385313,2.405174548578948,0.9892860147477212,0.17476195888593793,0.00024014399867180037,4204902.0162541885,5313.0,0.020267486572265625
CALCE,DNN,DNN,False,validation,4,0.019223663098802364,0.01284649834114212,2.3212236667757833,0.9904181931874713,0.17476195888593793,0.00024014399867180037,4204902.0162541885,5313.0,0.020267486572265625
CALCE,EMD-TCN,EMD-TCN,True,test,4,0.01514040141708943,0.008492885911218209,1.7090391391700055,0.9942647329702221,3.5707077502738684,0.04693736307873116,21305.197871858414,3457.0,0.013187408447265625
CALCE,EMD-TCN,EMD-TCN,True,validation,4,0.014190646883760451,0.008055309840055435,1.47612879714949,0.9948568217020841,3.5707077502738684,0.04693736307873116,21305.197871858414,3457.0,0.013187408447265625
CALCE,EMD-XGBoost,EMD-XGBoost,True,test,4,0.03336391905037346,0.0140113024008682,4.085915902869639,0.9655623642929833,0.27941516577266157,0.0004636202623263313,2157167.062918443,0.0,0.0
CALCE,EMD-XGBoost,EMD-XGBoost,True,validation,4,0.034543651627667184,0.013881558611110305,4.020184038358452,0.9662766667694599,0.27941516577266157,0.0004636202623263313,2157167.062918443,0.0,0.0
CALCE,GRU,GRU,False,test,4,0.015258262732366044,0.009323814373430979,1.9253217159382716,0.9941556463183562,2.9667400408070534,0.011213502008844288,90430.7663906719,21505.0,0.08203506469726562
CALCE,GRU,GRU,False,validation,4,0.014521314472788954,0.008625863101964143,1.7016163161971174,0.9946740278738206,2.9667400408070534,0.011213502008844288,90430.7663906719,21505.0,0.08203506469726562
CALCE,LSTM,LSTM,False,test,4,0.016303363960329102,0.009665719409130767,2.0718378049688,0.993311422044561,3.3775595840997994,0.01715934248053909,58483.35981469067,28657.0,0.10931777954101562
CALCE,LSTM,LSTM,False,validation,4,0.01616763823754632,0.009454519405825541,1.9722734055123088,0.9934131231006184,3.3775595840997994,0.01715934248053909,58483.35981469067,28657.0,0.10931777954101562
