strategy,RMSE,MAE,R2,mean_alpha
analytic,0.009451714383471352,0.004785062490851425,0.9918087283315367,0.9973305519653339
fixed_one,0.00946107322000459,0.004792060164640394,0.9918029708478893,1.0
grid,0.009487568816127072,0.004759016029937095,0.9916902966158126,0.9625
fixed_half,0.00973955635202506,0.0046971122617020964,0.9917087513822258,0.5
fixed_zero,0.010571402490944893,0.004826585725181603,0.9909598114841186,0.0
