epoch,alpha_mean,alpha_std,alpha_min,alpha_max,validation_loss
1,0.2868994474411011,0.06435191631317139,0.020756136626005173,0.3954811692237854,0.0001738121936796233
2,0.2562820017337799,0.09480509907007217,0.004842718131840229,0.46308961510658264,0.00017297313024755567
3,0.24860598146915436,0.1208178848028183,0.0020491457544267178,0.5572672486305237,0.00017356056196149439
4,0.2521396279335022,0.13466016948223114,0.0016247930470854044,0.630652904510498,0.0001738900609780103
5,0.26941820979118347,0.1421273946762085,0.002069175010547042,0.6856764554977417,0.00017426887643523514
6,0.29193630814552307,0.14251112937927246,0.003406914882361889,0.7153680324554443,0.00017452769679948688
