dataset,variant,fold_id,test_cell,status,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
NASA,ATRCF,test_B0005,B0005,ok,0.006563794452792149,0.0033151461658237954,0.42316154986961707,0.9946653294496711,1.5174657918978482,0.2263670520685417,4417.604023474272,58273,0.22229385375976562
NASA,ATRCF,test_B0006,B0006,ok,0.011468770801977678,0.006317170665568225,0.8045199713333326,0.9892109952848889,1.5198056248482317,0.2389514794279086,4184.950025813499,58273,0.22229385375976562
NASA,ATRCF,test_B0007,B0007,ok,0.0059590669375199435,0.0036916233494564453,0.450715869495624,0.9936579672031627,0.9762121248058975,0.06421902645869475,15571.709120243257,4033,0.015384674072265625
NASA,ATRCF,test_B0018,B0018,ok,0.011702471848428871,0.0063937295685603255,0.8294676872333561,0.9670827622467725,1.6326499581336975,0.22477909505110363,4448.812287337706,58273,0.22229385375976562
NASA,Trend_Only,test_B0005,B0005,ok,0.006898157985403452,0.004287658393316637,0.5497383906154053,0.9941079837996188,1.0831281542778015e-06,1.1243269239601336e-05,88942102.04250681,0,0.0
NASA,Trend_Only,test_B0006,B0006,ok,0.012131280834898603,0.00731841400936488,0.9337518396655663,0.9879285080581864,8.328352123498917e-07,8.770975431329325e-06,114012404.64407964,0,0.0
NASA,Trend_Only,test_B0007,B0007,ok,0.006459462544594246,0.0036824476649598608,0.4504887859357703,0.9925481393577202,6.670597940683365e-07,8.499850273916596e-06,117649131.19336818,0,0.0
NASA,Trend_Only,test_B0018,B0018,ok,0.011891159967455253,0.007451770855064445,0.9671230788776674,0.9660127037319376,1.375097781419754e-06,1.0413149821347204e-05,96032422.19275251,0,0.0
NASA,TCN_Only,test_B0005,B0005,ok,0.09194964942865819,0.07734083277770751,9.730796699105476,-0.04688219761706325,0.9855317499022931,0.09178727754930917,10894.75607839865,8929,0.034061431884765625
NASA,TCN_Only,test_B0006,B0006,ok,0.13265902663955031,0.11761904197620776,16.979652125651082,-0.44351482485623217,1.5036369999870658,0.2191384280051448,4563.325607029191,58273,0.22229385375976562
NASA,TCN_Only,test_B0007,B0007,ok,0.11578160222025519,0.09263738360014569,10.77813030364974,-1.3941483991226868,1.1601364999078214,0.12488020920978957,8007.673964735865,10593,0.040409088134765625
NASA,TCN_Only,test_B0018,B0018,ok,0.07297580810705803,0.06295971698824798,8.466468720235884,-0.280047247213016,1.1231445411685854,0.09098383678316042,10990.963179353228,8929,0.034061431884765625
NASA,Trend_TCN,test_B0005,B0005,ok,0.006563707352987651,0.0033147369625619785,0.42311547917027886,0.994665471028047,1.5035446658730507,0.22755180926699387,4394.603599159555,58273,0.22229385375976562
NASA,Trend_TCN,test_B0006,B0006,ok,0.011468537111499207,0.006317825259293658,0.8046016949427274,0.9892114349592063,1.4948903750628233,0.23318695419124866,4288.404569922245,58273,0.22229385375976562
NASA,Trend_TCN,test_B0007,B0007,ok,0.005967258226480678,0.0037359714483736054,0.4562521517376153,0.9936405197979138,0.98335404205136,0.06204742729957951,16116.703681713761,4033,0.015384674072265625
NASA,Trend_TCN,test_B0018,B0018,ok,0.011700650383640189,0.0063915337619293786,0.8291835670070481,0.9670930084450372,1.6293312078341842,0.22507075958981596,4443.047163578543,58273,0.22229385375976562
CALCE,ATRCF,test_CS2_35,CS2_35,ok,0.009193903180489764,0.004181595463343557,0.7120022074188613,0.9976177794007464,7.178119374904782,0.23235195379824686,4303.815757315768,58273,0.22229385375976562
CALCE,ATRCF,test_CS2_36,CS2_36,ok,0.01119795175764115,0.005352796934460163,0.9605305643906431,0.9977269232377086,3.9054588340222836,0.10700620553942154,9345.252408110067,14737,0.056217193603515625
CALCE,ATRCF,test_CS2_37,CS2_37,ok,0.009738219195214927,0.004585470138775402,0.7396068501975936,0.9973183336256987,3.5803860418964177,0.09154981692910007,10923.014742612111,8929,0.034061431884765625
CALCE,ATRCF,test_CS2_38,CS2_38,ok,0.009789536893706333,0.004442967640823488,0.6665729058856431,0.9971897362036442,6.808487833011895,0.23117108883488238,4325.800449528816,58273,0.22229385375976562
CALCE,Trend_Only,test_CS2_35,CS2_35,ok,0.010397942832230708,0.004081960841179822,0.7241680074723787,0.9969529682855811,7.08969309926033e-07,4.667367175324684e-06,214253552.89953917,0,0.0
CALCE,Trend_Only,test_CS2_36,CS2_36,ok,0.01321221277027315,0.005041762531119449,0.8615830400376883,0.996835624336235,6.670597940683365e-07,3.1249921606934588e-06,320000802.74700356,0,0.0
CALCE,Trend_Only,test_CS2_37,CS2_37,ok,0.012152532178777887,0.004628077794210539,0.7351143919614795,0.9958238199506942,1.00000761449337e-06,2.745745477566659e-06,364199816.83306724,0,0.0
CALCE,Trend_Only,test_CS2_38,CS2_38,ok,0.012147267620552057,0.004427688349272109,0.6503418348514721,0.995673068767685,4.5797787606716156e-07,2.7630820262188814e-06,361914699.061049,0,0.0
CALCE,TCN_Only,test_CS2_35,CS2_35,ok,0.14140825835315152,0.10676567735844163,17.150541284878354,0.4364510168706628,4.04955220897682,0.1117174272203934,8951.154935095528,14737,0.056217193603515625
CALCE,TCN_Only,test_CS2_36,CS2_36,ok,0.18512000253658104,0.13482148333548732,32.42358590201844,0.3787825980263496,4.1334579170215875,0.10659981837860592,9380.87902221694,14737,0.056217193603515625
CALCE,TCN_Only,test_CS2_37,CS2_37,ok,0.1365601305226026,0.09480456309769852,16.72845527168861,0.47265661659924485,3.8801375420298427,0.10502087653743174,9521.916336734994,14737,0.056217193603515625
CALCE,TCN_Only,test_CS2_38,CS2_38,ok,0.1476491096918551,0.10110601630993946,18.024702439103244,0.36072980175391767,4.113478041021153,0.10649528050301027,9390.087478775487,14737,0.056217193603515625
CALCE,Trend_TCN,test_CS2_35,CS2_35,ok,0.00919465365451855,0.004183073505134935,0.7123847997565411,0.9976173904761249,7.569116416852921,0.24277862703414768,4118.97872648957,58273,0.22229385375976562
CALCE,Trend_TCN,test_CS2_36,CS2_36,ok,0.01118898151349158,0.005342672522362953,0.956464007037063,0.9977305635260632,4.141727457987145,0.1065284879270779,9387.160368638024,14737,0.056217193603515625
