dataset,model,fold_id,status,train_time_sec,inference_time_sec,inference_ms_per_sample,throughput_samples_sec,inference_repeats,test_samples,param_count,model_size_mb_fp32
NASA,Trend_Prior_l1,test_B0005,ok,1.375097781419754e-06,1.584179699420929e-06,1.0422234864611374e-05,95948710.90417401,5,152,0.0,0.0
NASA,Trend_Prior_l2,test_B0005,ok,6.249174475669861e-07,0.0021291670855134726,0.014007678194167582,71389.41844169243,5,152,0.0,0.0
NASA,LSTM,test_B0005,ok,0.14426050009205937,0.0031850419472903013,0.020954223337436195,47723.07634105578,5,152,28657.0,0.10931777954101562
NASA,GRU,test_B0005,ok,0.1212177500128746,0.0021476249676197767,0.014129111629077479,70775.85811849745,5,152,21505.0,0.08203506469726562
NASA,Transformer,test_B0005,ok,0.08824312500655651,0.0033436669036746025,0.021997808576806596,45459.07363946928,5,152,12801.0,0.048831939697265625
NASA,DNN,test_B0005,ok,0.015282167121767998,9.02500469237566e-05,0.0005937503087089249,1684209.650643283,5,152,5313.0,0.020267486572265625
NASA,CNN1D,test_B0005,ok,0.11445429199375212,0.003477458143606782,0.022878014102676196,43710.08757630861,5,152,12065.0,0.046024322509765625
NASA,XGBoost,test_B0005,ok,0.030867082998156548,0.00012274994514882565,0.000807565428610695,1238289.7590358246,5,152,0.0,0.0
NASA,LightGBM,test_B0005,ok,0.008814041037112474,0.0006315831560641527,0.00415515234252732,240665.0629304634,5,152,0.0,0.0
NASA,Ours,test_B0005,ok,1.550846541998908,0.03714716690592468,0.24438925596003078,4091.832908413729,5,152,58273.0,0.22229385375976562
NASA,Trend_Prior_l1,test_B0006,ok,6.2515027821064e-07,1.3331882655620575e-06,8.770975431329325e-06,114012404.64407964,5,152,0.0,0.0
NASA,Trend_Prior_l2,test_B0006,ok,3.7509016692638397e-07,0.001939333975315094,0.012758776153388777,78377.42334984038,5,152,0.0,0.0
NASA,LSTM,test_B0006,ok,0.14443850005045533,0.0029900420922785997,0.019671329554464472,50835.404756515134,5,152,28657.0,0.10931777954101562
NASA,GRU,test_B0006,ok,0.11908116610720754,0.0021085001062601805,0.013871711225395924,72089.15927901016,5,152,21505.0,0.08203506469726562
NASA,Transformer,test_B0006,ok,0.0809022921603173,0.0030257501639425755,0.019906251078569574,50235.47608502575,5,152,12801.0,0.048831939697265625
NASA,DNN,test_B0006,ok,0.008412959054112434,6.654113531112671e-05,0.00043777062704688623,2284301.271526145,5,152,5313.0,0.020267486572265625
NASA,CNN1D,test_B0006,ok,0.08442970900796354,0.0027758751530200243,0.018262336533026474,54757.50587508628,5,152,12065.0,0.046024322509765625
NASA,XGBoost,test_B0006,ok,0.017549125012010336,0.00011658412404358387,0.0007670008160762096,1303779.5775964851,5,152,0.0,0.0
NASA,LightGBM,test_B0006,ok,0.007199625018984079,0.0003339999821037054,0.0021973683033138514,455089.84474377823,5,152,0.0,0.0
NASA,Ours,test_B0006,ok,1.7224061251617968,0.0358702908270061,0.23598875544082962,4237.490036895991,5,152,58273.0,0.22229385375976562
NASA,Trend_Prior_l1,test_B0007,ok,3.3665914088487625e-05,1.3331882655620575e-06,8.770975431329325e-06,114012404.64407964,5,152,0.0,0.0
NASA,Trend_Prior_l2,test_B0007,ok,3.3387914299964905e-07,0.0019292079377919436,0.012692157485473313,78788.81121232071,5,152,0.0,0.0
NASA,LSTM,test_B0007,ok,0.14047141722403467,0.003289500018581748,0.021641447490669395,46207.63007793934,5,152,28657.0,0.10931777954101562
NASA,GRU,test_B0007,ok,0.13056645798496902,0.00209854100830853,0.013806190844135065,72431.27458467697,5,152,21505.0,0.08203506469726562
NASA,Transformer,test_B0007,ok,0.09338404098525643,0.0035894589964300394,0.02361486181861868,42346.21433234766,5,152,12801.0,0.048831939697265625
NASA,DNN,test_B0007,ok,0.009161208057776093,6.0542020946741104e-05,0.0003983027693864546,2510652.8923723013,5,152,5313.0,0.020267486572265625
NASA,CNN1D,test_B0007,ok,0.09673316706903279,0.002823792165145278,0.018577580033850512,53828.32415082501,5,152,12065.0,0.046024322509765625
NASA,XGBoost,test_B0007,ok,0.017857207916676998,0.00010104198008775711,0.0006647498689984021,1504325.2306416081,5,152,0.0,0.0
NASA,LightGBM,test_B0007,ok,0.009374584071338177,0.00034883315674960613,0.00229495497861583,435738.39544474904,5,152,0.0,0.0
NASA,Ours,test_B0007,ok,0.9333843749482185,0.009428499964997172,0.062029605032876134,16121.334312381852,5,152,4033.0,0.015384674072265625
NASA,Trend_Prior_l1,test_B0018,ok,7.080379873514175e-07,1.1669471859931946e-06,1.0059889534424091e-05,99404670.05905826,5,116,0.0,0.0
NASA,Trend_Prior_l2,test_B0018,ok,3.748573362827301e-07,0.0014619999565184116,0.01260344790102079,79343.36761284244,5,116,0.0,0.0
NASA,LSTM,test_B0018,ok,0.13618937507271767,0.0023495000787079334,0.020254311023344254,49372.20519855959,5,116,28657.0,0.10931777954101562
NASA,GRU,test_B0018,ok,0.11959287500940263,0.0017353328876197338,0.014959766272583911,66845.96415337417,5,116,21505.0,0.08203506469726562
NASA,Transformer,test_B0018,ok,0.08467324986122549,0.00230320799164474,0.019855241307282244,50364.53521384468,5,116,12801.0,0.048831939697265625
NASA,DNN,test_B0018,ok,0.00800937507301569,5.683302879333496e-05,0.0004899399033908186,2041066.6554798111,5,116,5313.0,0.020267486572265625
NASA,CNN1D,test_B0018,ok,0.09218379086814821,0.0020660418085753918,0.017810705246339584,56146.00804229904,5,116,12065.0,0.046024322509765625
NASA,XGBoost,test_B0018,ok,0.01670645782724023,9.429198689758778e-05,0.0008128619560136877,1230221.1865149229,5,116,0.0,0.0
NASA,LightGBM,test_B0018,ok,0.008314542006701231,0.00034204195253551006,0.002948637521857845,339139.6848839972,5,116,0.0,0.0
NASA,Ours,test_B0018,ok,1.5884547079913318,0.025729333981871605,0.22180460329199658,4508.47270596788,5,116,58273.0,0.22229385375976562
CALCE,Trend_Prior_l1,test_CS2_35,ok,8.33999365568161e-07,2.7080532163381577e-06,3.127082235956302e-06,319786921.0159058,5,866,0.0,0.0
CALCE,Trend_Prior_l2,test_CS2_35,ok,3.3294782042503357e-07,0.010568417143076658,0.012203714945816003,81942.26138843453,5,866,0.0,0.0
CALCE,LSTM,test_CS2_35,ok,0.9719433330465108,0.01636645896360278,0.018898913352890047,52913.09512496805,5,866,28657.0,0.10931777954101562
CALCE,GRU,test_CS2_35,ok,0.8312832079827785,0.009016709169372916,0.010411904352624615,96043.90956087892,5,866,21505.0,0.08203506469726562
CALCE,Transformer,test_CS2_35,ok,0.5508924999739975,0.020015708170831203,0.023112826987103006,43266.018499511185,5,866,12801.0,0.048831939697265625
CALCE,DNN,test_CS2_35,ok,0.04616795782931149,0.00022037513554096222,0.0002544747523567693,3929662.9262380297,5,866,5313.0,0.020267486572265625
CALCE,CNN1D,test_CS2_35,ok,0.5952484169974923,0.015002500033006072,0.017323903040422715,57723.71258755321,5,866,12065.0,0.046024322509765625
CALCE,XGBoost,test_CS2_35,ok,0.020754000172019005,0.00032241689041256905,0.0003723058780745601,2685963.5017627478,5,866,0.0,0.0
CALCE,LightGBM,test_CS2_35,ok,0.045876583782956004,0.0023211250081658363,0.002680282919360088,373094.94187231094,5,866,0.0,0.0
CALCE,Ours,test_CS2_35,ok,7.041416709078476,0.2006869160104543,0.23174008777188718,4315.179171694919,5,866,58273.0,0.22229385375976562
CALCE,Trend_Prior_l1,test_CS2_36,ok,8.330680429935455e-07,2.3748725652694702e-06,2.5813832231189893e-06,387389207.0901961,5,920,0.0,0.0
CALCE,Trend_Prior_l2,test_CS2_36,ok,3.3294782042503357e-07,0.011329333065077662,0.012314492462040938,81205.13314555761,5,920,0.0,0.0
CALCE,LSTM,test_CS2_36,ok,0.7988003341015428,0.015681708930060267,0.01704533579354377,58667.07538720171,5,920,28657.0,0.10931777954101562
CALCE,GRU,test_CS2_36,ok,0.6993599578272551,0.009625291917473078,0.010462273823340302,95581.51668417419,5,920,21505.0,0.08203506469726562
CALCE,Transformer,test_CS2_36,ok,0.5377338328398764,0.021136124851182103,0.022974048751284896,43527.373464987184,5,920,12801.0,0.048831939697265625
CALCE,DNN,test_CS2_36,ok,0.04342400003224611,0.00023195892572402954,0.00025212926709133643,3966219.4378954805,5,920,5313.0,0.020267486572265625
CALCE,CNN1D,test_CS2_36,ok,0.5567856249399483,0.01664975006133318,0.018097554414492588,55256.08472265161,5,920,12065.0,0.046024322509765625
CALCE,XGBoost,test_CS2_36,ok,0.020503625040873885,0.0003394160885363817,0.00036893053101780623,2710537.3936963095,5,920,0.0,0.0
